employee_id,role,top_skill_gap,priority,importance,all_gaps,recommended_tools
1,Auditor,Active Listening,Critical,3.5,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
209,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
210,Sales Executive,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
211,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
212,Account Manager,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
213,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
214,Account Manager,Active Listening,Critical,4.12,Active Listening; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
215,Hr Manager,Active Listening,Critical,4.38,Active Listening; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
216,Seo Analyst,Critical Thinking,Critical,4.0,Critical Thinking; Writing; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
217,Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
218,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Reading Comprehension; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
219,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Critical Thinking; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
220,Support Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
221,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
222,Content Lead,Active Listening,Critical,4.12,Active Listening; Writing; Learning Strategies,N/A (V2 requires sentence-transformers with valid GPU)
223,Hr Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
224,Account Manager,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
225,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
226,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
227,Helpdesk,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
228,Support Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Monitoring; Learning Strategies,N/A (V2 requires sentence-transformers with valid GPU)
229,Hr Manager,Reading Comprehension,Critical,4.25,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
230,Auditor,Active Listening,Critical,3.5,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
231,Accountant,Active Listening,Critical,4.12,Active Listening; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
232,Hr Manager,Active Listening,Critical,4.38,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
233,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
234,Accountant,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
235,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
236,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
237,Account Manager,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
238,Support Engineer,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
239,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Writing; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
240,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Active Listening; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
241,Helpdesk,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
242,Content Lead,Critical Thinking,Critical,4.12,Critical Thinking; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
243,Support Engineer,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
244,Helpdesk,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
245,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
246,Accountant,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
247,Engineer,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
248,Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
249,Hr Executive,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
250,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Reading Comprehension; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
251,Accountant,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
252,Helpdesk,Active Listening,Critical,4.12,Active Listening; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
253,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
254,Engineer,Active Listening,Critical,4.12,Active Listening; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
255,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
256,Hr Manager,Speaking,Critical,4.25,Speaking; Reading Comprehension; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
257,Accountant,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
258,Hr Executive,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
259,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Writing; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
260,Hr Manager,Reading Comprehension,Critical,4.25,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
261,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
262,Tester,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
263,Engineer,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
264,Auditor,Active Listening,Critical,3.5,Active Listening; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
265,Hr Executive,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
266,Content Lead,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
267,Support Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
268,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
269,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
270,Hr Executive,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
271,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
272,Content Lead,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
273,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
274,Tester,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
275,Hr Manager,Active Listening,Critical,4.38,Active Listening; Speaking; Critical Thinking,N/A (V2 requires sentence-transformers with valid GPU)
276,Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
277,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
278,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
279,Account Manager,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
280,Auditor,Critical Thinking,Critical,3.5,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
281,Account Manager,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
282,Accountant,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
283,Hr Manager,Active Listening,Critical,4.38,Active Listening; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
284,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
285,Helpdesk,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
286,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
287,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
288,Seo Analyst,Critical Thinking,Critical,4.0,Critical Thinking; Writing; Mathematics,N/A (V2 requires sentence-transformers with valid GPU)
289,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
290,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
291,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Active Listening; Writing,N/A (V2 requires sentence-transformers with valid GPU)
292,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
293,Hr Manager,Active Listening,Critical,4.38,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
294,Hr Manager,Reading Comprehension,Critical,4.25,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
295,Helpdesk,Speaking,Critical,4.0,Speaking; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
296,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
297,Helpdesk,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
298,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
299,Hr Manager,Speaking,Critical,4.25,Speaking; Writing; Critical Thinking,N/A (V2 requires sentence-transformers with valid GPU)
300,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
301,Content Lead,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
302,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Active Listening; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
303,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
304,Sales Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
305,Developer,Active Listening,Critical,3.38,Active Listening; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
306,Engineer,Active Listening,Critical,4.12,Active Listening; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
307,Auditor,Critical Thinking,Critical,3.5,Critical Thinking; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
308,Hr Manager,Active Listening,Critical,4.38,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
309,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Reading Comprehension; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
310,Hr Manager,Speaking,Critical,4.25,Speaking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
311,Hr Executive,Active Listening,Critical,4.12,Active Listening; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
312,Helpdesk,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
313,Support Engineer,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
314,Hr Manager,Active Listening,Critical,4.38,Active Listening; Speaking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
315,Sales Executive,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
316,Accountant,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
317,Account Manager,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
318,Account Manager,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Learning Strategies,N/A (V2 requires sentence-transformers with valid GPU)
319,Hr Executive,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
320,Seo Analyst,Critical Thinking,Critical,4.0,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
321,Seo Analyst,Critical Thinking,Critical,4.0,Critical Thinking; Writing; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
322,Tester,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
323,Content Lead,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
324,Tester,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
325,Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
326,Content Lead,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
327,Sales Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
328,Accountant,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
329,Hr Manager,Active Listening,Critical,4.38,Active Listening; Writing; Critical Thinking,N/A (V2 requires sentence-transformers with valid GPU)
330,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Active Listening; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
331,Account Manager,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
332,Sales Executive,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
333,Hr Manager,Active Listening,Critical,4.38,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
334,Account Manager,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
335,Support Engineer,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
336,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
337,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
338,Seo Analyst,Critical Thinking,Critical,4.0,Critical Thinking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
339,Content Lead,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
340,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
341,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
342,Tester,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
343,Hr Executive,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
344,Auditor,Active Listening,Critical,3.5,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
345,Accountant,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
346,Hr Manager,Active Listening,Critical,4.38,Active Listening; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
347,Hr Executive,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
348,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Reading Comprehension; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
349,Sales Executive,Active Listening,Critical,4.12,Active Listening; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
350,Content Lead,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
351,Hr Manager,Reading Comprehension,Critical,4.25,Reading Comprehension; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
352,Helpdesk,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
353,Tester,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
354,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
355,Account Manager,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
356,Tester,Speaking,Critical,4.0,Speaking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
357,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
358,Engineer,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
359,Hr Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
360,Hr Manager,Speaking,Critical,4.25,Speaking; Writing; Critical Thinking,N/A (V2 requires sentence-transformers with valid GPU)
361,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Writing; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
362,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
363,Helpdesk,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
364,Tester,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
365,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
366,Helpdesk,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
367,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
368,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Reading Comprehension; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
369,Account Manager,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Learning Strategies,N/A (V2 requires sentence-transformers with valid GPU)
370,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
371,Accountant,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
372,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Reading Comprehension; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
373,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Critical Thinking; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
374,Accountant,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
375,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Writing; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
376,Engineer,Writing,Critical,4.0,Writing; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
377,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
378,Sales Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
379,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
380,Seo Analyst,Reading Comprehension,Critical,4.0,Reading Comprehension; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
381,Tester,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
382,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
383,Engineer,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
384,Sales Executive,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
385,Hr Manager,Speaking,Critical,4.25,Speaking; Writing; Learning Strategies,N/A (V2 requires sentence-transformers with valid GPU)
386,Sales Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
387,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
388,Content Lead,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
389,Support Engineer,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
390,Account Manager,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
391,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
392,Tester,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
393,Helpdesk,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
394,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
395,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
396,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
397,Engineer,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
398,Sales Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
399,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
400,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
401,Developer,Active Listening,Critical,3.38,Active Listening; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
402,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
403,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
404,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Active Listening; Writing,N/A (V2 requires sentence-transformers with valid GPU)
405,Tester,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
406,Sales Executive,Active Listening,Critical,4.12,Active Listening; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
407,Tester,Active Listening,Critical,4.12,Active Listening; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
408,Support Engineer,Writing,Critical,4.0,Writing; Monitoring; Learning Strategies,N/A (V2 requires sentence-transformers with valid GPU)
409,Hr Manager,Writing,Critical,4.12,Writing; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
410,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
411,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
412,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
413,Auditor,Critical Thinking,Critical,3.5,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
414,Auditor,Active Listening,Critical,3.5,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
415,Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
